Price,Close,High,Low,Open,Volume,Ticker
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2020-05-21,1730.6949462890625,1736.6053573125403,1687.192958831246,1691.408421086188,3400908,TCS.NS
2020-05-22,1756.0313720703125,1766.1572456089036,1704.6633356055424,1718.4396885700246,3663418,TCS.NS
2020-05-26,1688.80078125,1759.2036959598558,1673.1556890922543,1751.381149880983,4575317,TCS.NS
2020-05-27,1742.9505615234375,1747.0356272665613,1687.280055438414,1702.7078576194992,3482160,TCS.NS
2020-05-28,1742.0811767578125,1750.5121012403388,1713.3985057841626,1728.3482191243363,3475681,TCS.NS
2020-05-29,1714.31103515625,1740.6469840065024,1705.6628179005147,1722.6985645234151,7237735,TCS.NS
2020-06-01,1777.6739501953125,1790.494236598139,1721.9165477724925,1729.6521994321827,3747773,TCS.NS
2020-06-02,1779.325439453125,1808.7468897457898,1773.1543396173079,1790.6680701280907,2443886,TCS.NS
2020-06-03,1783.6839599609375,1799.02633162175,1760.8882809816764,1788.6528669772272,3699799,TCS.NS
2020-06-04,1823.2601318359375,1830.626180330102,1784.2067307574457,1784.2067307574457,4048593,TCS.NS
2020-06-05,1785.5145263671875,1828.8829372968924,1778.5843404517511,1823.303970568174,3573289,TCS.NS
2020-06-08,1805.9996337890625,1826.2672778028652,1797.5875569946072,1811.6658568466848,2957841,TCS.NS
2020-06-09,1806.261474609375,1826.7034245551226,1795.9750562823629,1798.4595626765354,2909439,TCS.NS
2020-06-10,1838.25341796875,1858.5210608698874,1807.5250561508965,1810.619728061866,5168397,TCS.NS
2020-06-11,1802.4259033203125,1834.9849857021306,1797.3264290354057,1830.6263515318167,2269513,TCS.NS
2020-06-12,1777.8865966796875,1786.342303067,1753.0423858410647,1753.216688615503,2842642,TCS.NS
2020-06-15,1769.5185546875,1794.8857876156997,1744.2819956720382,1777.5384000518306,2399022,TCS.NS
2020-06-16,1783.3787841796875,1807.9178092155557,1770.4771845829816,1800.115896683337,2146528,TCS.NS
2020-06-17,1785.122314453125,1794.7549388639754,1766.598118595313,1783.553163533322,2703527,TCS.NS
2020-06-18,1776.666015625,1795.0594261559406,1765.4207208643204,1782.6809506283348,1944389,TCS.NS
2020-06-19,1782.332763671875,1821.9091854418584,1771.3490262286393,1780.0662950585047,5681758,TCS.NS
2020-06-22,1767.818603515625,1789.0016106997389,1760.1474702990254,1787.0402250868387,3196138,TCS.NS
2020-06-23,1774.2252197265625,1781.809198702251,1752.17049383147,1766.9898462668605,4205944,TCS.NS
2020-06-24,1780.240478515625,1799.4620975615703,1771.000195457869,1773.092361119164,2560937,TCS.NS
2020-06-25,1757.488525390625,1795.757356354556,1751.5172175997045,1773.9641845541364,3043931,TCS.NS
2020-06-26,1847.0584716796875,1858.5215943199587,1760.8445608341817,1765.246823873319,6300722,TCS.NS
2020-06-29,1832.064697265625,1854.6861798761015,1823.0424518256489,1837.6002480380114,3076341,TCS.NS
2020-06-30,1815.06591796875,1840.9997909328376,1808.8767852246206,1830.626326876775,3071725,TCS.NS
2020-07-01,1823.6962890625,1842.78702288959,1812.756073990578,1812.930376804388,2503466,TCS.NS
2020-07-02,1880.445556640625,1887.2886977875855,1828.8829967475078,1832.3699042722885,3758699,TCS.NS
2020-07-03,1917.493896484375,1922.157720300394,1883.1479434371547,1886.1117296223279,4185208,TCS.NS
