Price,Date,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,RSI,Returns,Volatility
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,
1308,2025-04-15,1235.1668701171875,1246.0235343416643,1232.1788040875913,1246.0235343416643,13378535,RELIANCE.NS,1239.131005859375,1231.7973095703126,42.657498200233356,0.017351043116696552,0.0163703782091919
1309,2025-04-16,1234.3701171875,1235.9637280756608,1224.1110419207541,1229.1907298200806,8248464,RELIANCE.NS,1238.7027160644532,1231.5234033203126,35.84949949518716,-0.0006450569141414064,0.016293904193027224
1310,2025-04-17,1269.4300537109375,1275.1073305428426,1222.7165970526498,1235.266450081142,15398401,RELIANCE.NS,1240.4781311035156,1231.7106567382812,47.723031771282244,0.028403098904663304,0.017397095163088537
1311,2025-04-21,1290.346435546875,1295.7249783909904,1261.9598099867933,1264.947875835223,10429964,RELIANCE.NS,1243.299365234375,1232.3261987304688,54.507110870528024,0.016476986482864886,0.017706526107280476
1312,2025-04-22,1286.0635986328125,1298.713151385602,1281.1831879455033,1294.8286411452223,13051707,RELIANCE.NS,1245.4931030273438,1233.22859375,52.61887303009878,-0.003319137245686554,0.017719829835826904
1313,2025-04-23,1294.82861328125,1300.8047453425481,1280.286716249035,1291.840547250601,10480888,RELIANCE.NS,1247.0294677734375,1233.52341796875,54.90352246540721,0.006815381959146771,0.017375294671003377
1314,2025-04-24,1296.4222412109375,1299.3107293954529,1285.1672652984741,1287.2588872304611,10468940,RELIANCE.NS,1248.2869506835937,1233.9895581054689,60.515048323586555,0.0012307636032609093,0.017345431365375717
1315,2025-04-25,1295.22705078125,1319.928323767296,1282.9759313802824,1298.3146947064158,14431012,RELIANCE.NS,1248.202294921875,1234.36505859375,60.58002119948207,-0.00092191447484824,0.016757391362870563
1316,2025-04-28,1363.35498046875,1369.1318351951852,1314.9482133535364,1334.669497851195,31104496,RELIANCE.NS,1252.35322265625,1236.3989379882812,70.10379876055302,0.05259921775599641,0.020151826557868596
1317,2025-04-29,1394.1319580078125,1405.2874774645995,1364.5501529607263,1365.5461749701867,32538970,RELIANCE.NS,1258.6605285644532,1239.3083178710938,84.13869990722328,0.022574441711784132,0.02034617636624555
1318,2025-04-30,1399.410888671875,1406.7814756764847,1363.5540972183608,1396.4228227174156,25480745,RELIANCE.NS,1264.9753112792969,1242.6977807617188,97.49906828702014,0.0037865358682445116,0.02034686351860745
1319,2025-05-02,1414.152099609375,1421.024554216323,1403.4945911426703,1408.3751233126775,13007841,RELIANCE.NS,1272.1815368652344,1246.746611328125,97.48207553038648,0.0105338689707426,0.020306407100434822
1320,2025-05-05,1425.6063232421875,1433.773654928142,1421.2238021682567,1425.3074680112338,12685649,RELIANCE.NS,1281.0809997558595,1251.0334912109374,97.56339311362173,0.008099711223408246,0.019558581698221757
1321,2025-05-06,1415.2476806640625,1426.3035005201455,1404.9886054552057,1425.3074785225756,14084117,RELIANCE.NS,1289.534735107422,1255.0902905273438,92.90424076037486,-0.007266131195719505,0.019737438632868236
1322,2025-05-07,1400.4068603515625,1418.733688530858,1397.1199392858432,1415.2476117092147,13440169,RELIANCE.NS,1297.3684448242188,1258.697880859375,86.20690946440416,-0.010486376706539735,0.020021362337211145
1323,2025-05-08,1401.4029541015625,1415.1481063364454,1392.438756100913,1398.51446598441,16106175,RELIANCE.NS,1307.443212890625,1262.3154321289062,86.56780795669373,0.0007112888248419491,0.017575569604224607
1324,2025-05-09,1371.721435546875,1389.251519832932,1369.032224808638,1379.9884666950659,13668904,RELIANCE.NS,1317.9761474609375,1265.2985180664064,72.93432072923811,-0.021179860130747574,0.01636062642825166
1325,2025-05-12,1430.7855224609375,1433.275577320772,1394.430721507353,1394.430721507353,10674081,RELIANCE.NS,1330.6405639648438,1269.3523266601562,76.88785495365755,0.04305836840007893,0.018073637837916403
1326,2025-05-13,1410.0682373046875,1441.9409399606418,1406.7814377941193,1427.7974767909468,11407896,RELIANCE.NS,1342.1122436523438,1273.0884033203124,72.33580911421573,-0.014479658083635383,0.018827776644583894
1327,2025-05-14,1418.7337646484375,1424.2118856620737,1409.8691445094285,1414.3512435205853,5570160,RELIANCE.NS,1352.3438842773437,1277.2687084960937,72.32589086382063,0.006145466662176524,0.01827883907787532
1328,2025-05-15,1448.4151611328125,1455.5865925696291,1407.0802476372012,1419.3313670179805,20177211,RELIANCE.NS,1363.006298828125,1282.252802734375,74.86959265931907,0.020921047503038803,0.018392304151034343
1329,2025-05-16,1450.6064453125,1455.1881221330052,1441.542669553187,1447.4191020051853,9036695,RELIANCE.NS,1373.818115234375,1287.2189697265626,75.3410950558836,0.0015128840393894283,0.01834424204661372
1330,2025-05-19,1435.0684814453125,1448.81351147394,1432.4787270944578,1446.3234565863577,6195791,RELIANCE.NS,1382.1000366210938,1292.0138208007813,64.11761115380604,-0.010711357251580567,0.018167997540969098
1331,2025-05-20,1418.932861328125,1439.2517336495314,1416.1440727881434,1432.4787356808251,11270560,RELIANCE.NS,1388.5293579101562,1297.0606640625,55.181003217710305,-0.011243797996968508,0.018406977654869008
1332,2025-05-21,1423.5145263671875,1430.486680037078,1412.458707007589,1418.235682967954,6136364,RELIANCE.NS,1395.401904296875,1302.3853955078125,55.05005373404283,0.0032289512519809715,0.018310716880508466
1333,2025-05-22,1403.79345703125,1418.1361984129633,1391.3431818014155,1415.5464438973825,12134466,RELIANCE.NS,1400.850146484375,1307.0427954101563,47.874079188533486,-0.0138537886130784,0.01879440172873876
1334,2025-05-23,1421.124267578125,1428.0964217220903,1401.0045498118507,1401.0045498118507,6474883,RELIANCE.NS,1407.0852478027343,1311.3695166015625,49.10180607504642,0.012345698336225563,0.018865774533841882
1335,2025-05-26,1429.0924072265625,1435.2676949623963,1419.430920923106,1426.3034970063507,4842944,RELIANCE.NS,1413.778515625,1315.0547973632813,52.8012914750004,0.005606926734152973,0.018818551009537086
1336,2025-05-27,1416.44287109375,1431.2836233071982,1408.275539274527,1420.4269591196573,12640414,RELIANCE.NS,1416.43291015625,1318.7141821289063,53.27369753105187,-0.008851447302390625,0.01535146826215684
1337,2025-05-28,1407.279541015625,1416.9409060075968,1405.0882196135674,1414.4508509493858,5944611,RELIANCE.NS,1417.0902893066407,1322.0130078125,51.16097133709576,-0.0064692549661740095,0.014663314065608082
1338,2025-05-29,1412.1600341796875,1414.3512339364067,1402.996558868143,1406.4826358531975,13771917,RELIANCE.NS,1417.7277465820312,1325.2152197265625,58.85691796911136,0.003468033906426582,0.014659809941256062
1339,2025-05-30,1415.2476806640625,1424.9090454066043,1404.0921613404494,1412.3591925541664,13788484,RELIANCE.NS,1417.7825256347655,1328.661455078125,45.491357898748774,0.0021864706617111818,0.014478445998017557
1340,2025-06-02,1408.0762939453125,1411.8612262898896,1390.0483195350275,1406.4826830156508,8098668,RELIANCE.NS,1416.906024169922,1332.1445458984374,49.37267897371233,-0.005067230857700444,0.014396449824306696
1341,2025-06-03,1399.908935546875,1420.8253977642241,1397.8173136420837,1416.6421539546416,11252626,RELIANCE.NS,1416.1390869140625,1335.4642895507814,44.05285188376041,-0.005800366381819577,0.014364000371314576
1342,2025-06-04,1417.8372802734375,1420.0284799827916,1400.506473605418,1409.0722382665938,8126827,RELIANCE.NS,1417.0106079101563,1338.9772583007812,39.56490658597224,0.012806793550152351,0.014451284642870276
1343,2025-06-05,1436.662109375,1448.913106617055,1417.9368477633755,1422.3193687346825,13716817,RELIANCE.NS,1418.7735656738282,1342.4284741210938,45.72648165745113,0.013277143550585846,0.014721665270438387
1344,2025-06-06,1437.7576904296875,1445.7258660607492,1431.28354772945,1435.2676355449807,8182161,RELIANCE.NS,1422.0753784179688,1345.7581762695313,50.90420440683698,0.0007625878399228903,0.013739522749871735
1345,2025-06-09,1443.0367431640625,1451.70208605586,1439.5506661134996,1451.204075048637,7885125,RELIANCE.NS,1422.687939453125,1348.6805078125,58.74284155744332,0.003671726306536005,0.009896800013223182
1346,2025-06-10,1432.777587890625,1448.1163503747662,1430.2875329933524,1444.2318404180787,7913181,RELIANCE.NS,1423.8234069824218,1351.7293310546875,53.22694640367895,-0.007109420686643664,0.009437282716789916
1347,2025-06-11,1443.13623046875,1462.7578142878924,1437.3592545136698,1440.0485867347081,8195700,RELIANCE.NS,1425.0435302734375,1355.2323388671875,64.66216105557952,0.007229763129792621,0.009472406388746914
1348,2025-06-12,1435.865234375,1451.2039968882907,1428.6939248911115,1447.7179200254843,8828114,RELIANCE.NS,1424.416033935547,1358.4873388671874,55.93893361031766,-0.0050383296741072225,0.008288546407177749
